Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
lets go fitness,INR,50,0%,0%,Low,0,,
belly fat workout,INR,5000,0%,0%,Low,7,0.96,24.14
best gym,INR,5000,0%,0%,Low,13,8.84,68.39
love handles workout,INR,5000,0%,0%,Low,2,2.47,91.17
abc fitness,INR,500,-90%,0%,Low,2,,
upper body dumbbell workout,INR,500,0%,0%,Low,3,18.27,88.6
push fitness,INR,50,0%,0%,Low,0,,
empire fitness,INR,500,0%,0%,Low,0,,
fitness your way,INR,50,0%,0%,Low,3,,
leg exercises gym,INR,50000,900%,900%,Low,2,1.18,61.67
dumbbell arm workout,INR,5000,0%,0%,Low,4,32.07,83.4
one gym,INR,50,0%,0%,Low,1,,
women only gym,INR,500,0%,0%,Low,5,10.42,60.78
cheapest gym near me,INR,5000,0%,0%,Low,15,6.69,51.16
matrix treadmill,INR,500,0%,0%,High,98,4.31,29.43
calisthenics near me,INR,5000,0%,0%,Low,9,11.95,65.96
workout routines,INR,5000,0%,0%,Low,4,6.58,42.51
pamela reif ab workout,INR,50,0%,0%,Low,0,,
good morning workout,INR,500,0%,0%,Low,0,,
back workouts for women,INR,500,0%,0%,Low,2,,
chest and shoulder workout,INR,5000,0%,0%,Low,1,7.4,22.76
ufc gym near me,INR,500,0%,0%,Low,2,9.83,48.83
health clubs near me,INR,500,0%,0%,Low,7,10.9,89.4
gym classes near me,INR,500,0%,0%,Low,11,9.44,59.69
good back workouts,INR,50,0%,0%,Low,0,,
total body workout,INR,500,0%,0%,Low,4,27.96,91.28
power fitness,INR,500,0%,0%,Low,2,,
pole fitness near me,INR,50,0%,0%,Low,5,,
popsugar fitness,INR,500,0%,0%,Low,1,12.81,53.58
30 minute workout,INR,500,0%,0%,Low,1,,
good ab workouts,INR,50,0%,0%,Low,3,,
cardio fitness,INR,500,0%,0%,Low,2,2.47,99.97
10 fitness,INR,50,0%,0%,Low,0,,
dance fitness,INR,500,0%,0%,Low,5,29.12,118.64
equinox gyms,INR,5000,0%,0%,Low,0,43.58,98.68
ifitness,INR,500,900%,900%,Low,2,23.67,96.87
body gym,INR,5000,0%,0%,Low,27,1.16,19.25
arm workouts with weights,INR,500,0%,0%,Low,7,,
crossfit exercises,INR,5000,0%,0%,Low,1,3.5,66.92
squat workout,INR,5000,0%,0%,Low,2,,
missfit,INR,500,0%,0%,Low,0,,
one and done workout,INR,50,0%,0%,Low,18,78.12,182.83
chest and triceps workout,INR,5000,0%,0%,Low,1,29.6,113.48
total gym workouts,INR,50,0%,0%,Low,0,,
